Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119110-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,20.85294118,17,9200,CIN@CLE,CIN,CLE,,,,,,WR/FLEX
119110-136855,RB,Bijan,Bijan Robinson,Robinson,19.18823601,17,8800,TB@ATL,ATL,TB,,,,,,RB/FLEX
119110-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,21.52222188,18,8700,DET@GB,DET,GB,,,,,,RB/FLEX
119110-102785,QB,Jayden,Jayden Daniels,Daniels,22.21000061,20,8500,NYG@WAS,WAS,NYG,,,,,,QB
119110-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.18777805,18,8400,DET@GB,DET,GB,,,,,,WR/FLEX
119110-89675,RB,Jonathan,Jonathan Taylor,Taylor,18.55000087,14,8300,MIA@IND,IND,MIA,,,,,,RB/FLEX
119110-138820,RB,De'Von,De'Von Achane,Achane,15.69999964,17,8200,MIA@IND,MIA,IND,Q,Calf,,,,RB/FLEX
119110-103020,WR,Puka,Puka Nacua,Nacua,15.5692303,13,8100,HOU@LAR,LAR,HOU,,,,,,WR/FLEX
119110-55050,RB,Christian,Christian McCaffrey,McCaffrey,10.07499981,4,8100,SF@SEA,SF,SEA,,,,,,RB/FLEX
119110-63336,QB,Joe,Joe Burrow,Burrow,23.69529455,17,8000,CIN@CLE,CIN,CLE,,,,,,QB
119110-91419,WR,Nico,Nico Collins,Collins,15.99285671,14,7900,HOU@LAR,HOU,LAR,,,,,,WR/FLEX
119110-41535,QB,Baker,Baker Mayfield,Mayfield,23.08333333,18,7900,TB@ATL,TB,ATL,,,,,,QB
119110-72731,RB,Josh,Josh Jacobs,Jacobs,16.8722229,18,7800,DET@GB,GB,DET,,,,,,RB/FLEX
119110-151761,WR,Malik,Malik Nabers,Nabers,15.20666707,15,7800,NYG@WAS,NYG,WAS,Q,Toe,,,,WR/FLEX
119110-38435,QB,Jared,Jared Goff,Goff,20.50999959,18,7800,DET@GB,DET,GB,,,,,,QB
119110-152664,RB,Bucky,Bucky Irving,Irving,13.62222205,18,7700,TB@ATL,TB,ATL,,,,,,RB/FLEX
119110-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,14.85294118,17,7700,CAR@JAC,JAC,CAR,,,,,,WR/FLEX
119110-63484,QB,Kyler,Kyler Murray,Murray,18.48470531,17,7700,ARI@NO,ARI,NO,,,,,,QB
119110-69017,QB,Jordan,Jordan Love,Love,15.89624977,16,7600,DET@GB,GB,DET,Q,Thumb,,,,QB
119110-53681,WR,Tyreek,Tyreek Hill,Hill,10.98235276,17,7600,MIA@IND,MIA,IND,Q,Oblique,,,,WR/FLEX
119110-63589,QB,Sam,Sam Darnold,Darnold,18.98111131,18,7500,SF@SEA,SEA,SF,,,,,,QB
119110-32384,WR,Mike,Mike Evans,Evans,15.20666707,15,7500,TB@ATL,TB,ATL,,,,,,WR/FLEX
119110-40687,RB,James,James Conner,Conner,15.51875019,16,7500,ARI@NO,ARI,NO,,,,,,RB/FLEX
119110-52442,RB,Joe,Joe Mixon,Mixon,17.49374962,16,7400,HOU@LAR,HOU,LAR,O,Foot,,,,RB/FLEX
119110-102965,QB,Bo,Bo Nix,Nix,19.3755561,18,7400,TEN@DEN,DEN,TEN,,,,,,QB
119110-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,18.23454562,11,7300,MIA@IND,MIA,IND,,,,,,QB
119110-56250,WR,Terry,Terry McLaurin,McLaurin,14.475,20,7300,NYG@WAS,WAS,NYG,,,,,,WR/FLEX
119110-104433,RB,Kyren,Kyren Williams,Williams,16.43333266,18,7300,HOU@LAR,LAR,HOU,,,,,,RB/FLEX
119110-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,12.47058824,17,7200,SF@SEA,SEA,SF,,,,,,WR/FLEX
119110-129471,QB,C.J.,C.J. Stroud,Stroud,14.2557887,19,7200,HOU@LAR,HOU,LAR,,,,,,QB
119110-91591,QB,Justin,Justin Fields,Fields,11.1945454,11,7200,PIT@NYJ,NYJ,PIT,,,,,,QB
119110-42104,RB,Alvin,Alvin Kamara,Kamara,17.16428593,14,7100,ARI@NO,NO,ARI,,,,,,RB/FLEX
119110-168356,QB,Cam,Cam Ward,Ward,,0,7100,TEN@DEN,TEN,DEN,,,,,,QB
119110-6654,QB,Matthew,Matthew Stafford,Stafford,14.84999932,18,7100,HOU@LAR,LAR,HOU,Q,Back,,,,QB
119110-89981,WR,Tee,Tee Higgins,Higgins,15.96666718,12,7100,CIN@CLE,CIN,CLE,,,,,,WR/FLEX
119110-112745,WR,Drake,Drake London,London,14.10588253,17,7000,TB@ATL,ATL,TB,,,,,,WR/FLEX
119110-151794,TE,Brock,Brock Bowers,Bowers,12.51176453,17,7000,LV@NE,LV,NE,,,,,,TE/FLEX
119110-103064,RB,Breece,Breece Hall,Hall,13.64999962,16,7000,PIT@NYJ,NYJ,PIT,,,,,,RB/FLEX
119110-89951,QB,Trevor,Trevor Lawrence,Lawrence,15.81999969,10,7000,CAR@JAC,JAC,CAR,,,,,,QB
119110-26483,QB,Geno,Geno Smith,Smith,17.41176471,17,7000,LV@NE,LV,NE,,,,,,QB
119110-63519,QB,Daniel,Daniel Jones,Jones,14.23000031,10,6900,MIA@IND,IND,MIA,,,,,,QB
119110-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,15.89636369,11,6900,MIA@IND,IND,MIA,,,,,,QB
119110-89493,RB,Chase,Chase Brown,Brown,14.4375,16,6900,CIN@CLE,CIN,CLE,,,,,,RB/FLEX
119110-85607,QB,Brock,Brock Purdy,Purdy,18.36624908,16,6900,SF@SEA,SF,SEA,,,,,,QB
119110-45889,WR,Davante,Davante Adams,Adams,14.84285736,14,6900,HOU@LAR,LAR,HOU,,,,,,WR/FLEX
119110-73048,WR,DK,DK Metcalf,Metcalf,11.14666646,15,6800,PIT@NYJ,PIT,NYJ,,,,,,WR/FLEX
119110-6894,QB,Aaron,Aaron Rodgers,Rodgers,15.9164698,17,6800,PIT@NYJ,PIT,NYJ,,,,,,QB
119110-119606,QB,Bryce,Bryce Young,Young,14.57285745,14,6800,CAR@JAC,CAR,JAC,,,,,,QB
119110-57403,WR,Courtland,Courtland Sutton,Sutton,12.87058841,17,6700,TEN@DEN,DEN,TEN,,,,,,WR/FLEX
119110-22015,QB,Russell,Russell Wilson,Wilson,16.68166606,12,6700,NYG@WAS,NYG,WAS,,,,,,QB
119110-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,10.01999969,5,6700,TB@ATL,ATL,TB,,,,,,QB
119110-103342,RB,Kenneth,Kenneth Walker III,Walker III,14.65454518,11,6700,SF@SEA,SEA,SF,,,,,,RB/FLEX
119110-6714,QB,Joe,Joe Flacco,Flacco,14.00500011,8,6600,CIN@CLE,CLE,CIN,,,,,,QB
119110-152316,QB,Drake,Drake Maye,Maye,14.39538457,13,6600,LV@NE,NE,LV,,,,,,QB
119110-103564,WR,Garrett,Garrett Wilson,Wilson,12.55294082,17,6500,PIT@NYJ,NYJ,PIT,,,,,,WR/FLEX
119110-88431,QB,Tyler,Tyler Shough,Shough,,0,6500,ARI@NO,NO,ARI,,,,,,QB
119110-87467,RB,Chuba,Chuba Hubbard,Hubbard,15.47333374,15,6500,CAR@JAC,CAR,JAC,,,,,,RB/FLEX
119110-86793,QB,Jake,Jake Haener,Haener,1.779999971,8,6500,ARI@NO,NO,ARI,,,,,,QB
119110-39793,TE,George,George Kittle,Kittle,13.97333374,15,6500,SF@SEA,SF,SEA,,,,,,TE/FLEX
119110-111557,QB,Spencer,Spencer Rattler,Rattler,10.32571411,7,6500,ARI@NO,NO,ARI,,,,,,QB
119110-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,10.08823529,17,6400,ARI@NO,ARI,NO,,,,,,WR/FLEX
